episode_number,user_id,episode_id,source,created_at,updated_at,tv_show_name,episode_season_number
2,21667900,4768797,season-detail,2018-07-13 11:13:02,2018-07-13 11:13:02,Penny Dreadful,1
21,21667900,4772992,season-detail,2018-11-03 05:06:21,2018-11-03 05:06:21,The Fosters (2013),1
14,21667900,4775874,season-detail,2018-08-17 10:14:12,2018-08-17 10:14:12,The Originals,1
2,21667900,4776421,season-detail,2018-07-17 16:14:16,2018-07-17 16:14:16,Vikings,2
3,21667900,4776422,season-detail,2018-07-18 11:07:06,2018-07-18 11:07:06,Vikings,2
4,21667900,4776423,season-detail,2018-07-18 12:03:10,2018-07-18 12:03:10,Vikings,2
5,21667900,4778050,season-detail,2018-07-19 16:27:03,2018-07-19 16:27:03,Vikings,2
15,21667900,4789966,season-detail,2018-08-17 10:14:13,2018-08-17 10:14:13,The Originals,1
16,21667900,4803045,season-detail,2018-08-17 16:11:44,2018-08-17 16:11:44,The Originals,1
6,21667900,4803339,season-detail,2018-07-19 16:27:27,2018-07-19 16:27:27,Vikings,2
7,21667900,4804537,season-detail,2018-07-20 11:10:28,2018-07-20 11:10:28,Vikings,2
8,21667900,4804538,season-detail,2018-07-20 13:36:56,2018-07-20 13:36:56,Vikings,2
17,21667900,4809292,season-detail,2018-08-18 04:47:20,2018-08-18 04:47:20,The Originals,1
18,21667900,4824483,season-detail,2018-08-18 04:47:21,2018-08-18 04:47:21,The Originals,1
19,21667900,4824484,season-detail,2018-08-19 04:55:19,2018-08-19 04:55:19,The Originals,1
20,21667900,4824485,season-detail,2018-08-19 05:40:42,2018-08-19 05:40:42,The Originals,1
21,21667900,4824486,season-detail,2018-08-19 09:38:05,2018-08-19 09:38:05,The Originals,1
22,21667900,4824487,season-detail,2018-08-19 11:08:22,2018-08-19 11:08:22,The Originals,1
6,21667900,4828423,season-detail,2018-09-13 16:16:00,2018-09-13 16:16:00,The 100,1
7,21667900,4828424,season-detail,2018-09-14 11:06:26,2018-09-14 11:06:26,The 100,1
8,21667900,4828425,season-detail,2018-09-14 11:06:29,2018-09-14 11:06:29,The 100,1
9,21667900,4828426,season-detail,2018-09-14 16:28:15,2018-09-14 16:28:15,The 100,1
10,21667900,4828427,season-detail,2018-09-15 04:26:34,2018-09-15 04:26:34,The 100,1
11,21667900,4828428,season-detail,2018-09-15 04:26:35,2018-09-15 04:26:35,The 100,1
12,21667900,4828429,season-detail,2018-09-15 08:20:08,2018-09-15 08:20:08,The 100,1
13,21667900,4828430,season-detail,2018-09-15 08:20:09,2018-09-15 08:20:09,The 100,1
1,21667900,4831283,season-detail,2018-11-03 05:53:14,2018-11-03 05:53:14,The Fosters (2013),2
9,21667900,4836903,season-detail,2018-07-20 16:21:36,2018-07-20 16:21:36,Vikings,2
10,21667900,4836905,season-detail,2018-07-21 11:38:09,2018-07-21 11:38:09,Vikings,2
1,21667900,4887576,season-detail,2018-09-15 11:16:32,2018-09-15 11:16:32,The 100,2
2,21667900,4890062,season-detail,2018-11-03 11:44:06,2018-11-03 11:44:06,The Fosters (2013),2
3,21667900,4905641,season-detail,2018-11-03 11:44:07,2018-11-03 11:44:07,The Fosters (2013),2
4,21667900,4911333,season-detail,2018-11-03 12:54:25,2018-11-03 12:54:25,The Fosters (2013),2
2,21667900,4912906,season-detail,2018-10-15 09:46:22,2018-10-15 09:46:22,Outlander,1
3,21667900,4912907,season-detail,2018-10-15 09:46:24,2018-10-15 09:46:24,Outlander,1
4,21667900,4912908,season-detail,2018-10-15 10:43:15,2018-10-15 10:43:15,Outlander,1
5,21667900,4917165,season-detail,2018-11-03 16:03:53,2018-11-03 16:03:53,The Fosters (2013),2
1,21667900,4917396,season-detail,2018-08-19 11:09:01,2018-08-19 11:09:01,The Originals,2
5,21667900,4919987,season-detail,2018-10-15 13:49:56,2018-10-15 13:49:56,Outlander,1
6,21667900,4919988,season-detail,2018-10-15 13:50:22,2018-10-15 13:50:22,Outlander,1
7,21667900,4919989,season-detail,2018-10-15 16:27:51,2018-10-15 16:27:51,Outlander,1
8,21667900,4919990,season-detail,2018-10-16 12:41:34,2018-10-16 12:41:34,Outlander,1
1,21667900,4920750,season-detail,2018-06-26 14:43:24,2018-06-26 14:43:24,Narcos,1
6,21667900,4929895,season-detail,2018-11-03 16:50:59,2018-11-03 16:50:59,The Fosters (2013),2
7,21667900,4929896,season-detail,2018-11-04 04:44:53,2018-11-04 04:44:53,The Fosters (2013),2
8,21667900,4937750,season-detail,2018-11-04 05:31:00,2018-11-04 05:31:00,The Fosters (2013),2
9,21667900,4938332,season-detail,2018-11-04 07:35:47,2018-11-04 07:35:47,The Fosters (2013),2
10,21667900,4938333,season-detail,2018-11-04 09:45:23,2018-11-04 09:45:23,The Fosters (2013),2
1,21667900,4998139,season-detail,2018-10-27 09:31:00,2018-10-27 09:31:00,Peaky Blinders,2
