user_id,tv_show_id,episode_id,created_at,updated_at,tv_show_name
21667900,356591,7048349,2024-03-11 01:59:06,2024-03-16 21:02:30,The Light in Your Eyes
21667900,356609,6937129,2020-09-27 16:56:31,2020-09-27 16:56:31,Conversations with a Killer: The Ted Bundy Tapes
21667900,356640,6937767,2019-06-08 08:35:44,2019-06-08 08:35:44,Russian Doll
21667900,357222,8452683,2021-09-07 09:45:21,2021-09-07 09:45:21,Modern Love
21667900,357756,7350635,2019-10-30 06:44:21,2019-10-30 06:44:21,Undone
21667900,357888,6983263,2021-05-15 06:50:56,2021-05-15 06:50:56,"Love, Death & Robots"
21667900,358970,7221011,2019-12-19 10:56:14,2019-12-19 10:56:14,The Loudest Voice
21667900,359274,7420023,2020-11-24 09:37:05,2020-11-24 09:37:05,Vinland Saga
21667900,359600,7101591,2024-02-22 10:19:28,2024-02-23 11:19:21,Her Private Life
21667900,359638,7352475,2019-10-28 11:01:55,2019-10-28 11:01:55,Looking for Alaska
21667900,360115,7056158,2022-04-30 02:25:50,2022-04-30 02:25:50,Prison Break
21667900,360261,11560129,2022-03-02 03:17:00,2026-06-05 20:57:45,Euphoria (US)
21667900,360295,7990688,2020-11-10 04:57:21,2020-11-10 04:57:21,His Dark Materials
21667900,360388,7064737,2021-07-05 17:16:40,2021-07-05 17:16:40,When They See Us
21667900,360733,7422384,2019-12-16 14:39:20,2019-12-16 14:39:20,Watchmen
21667900,360858,7112038,2020-01-04 13:34:44,2020-01-04 13:34:44,Spinning Out
21667900,360893,7116987,2019-06-09 11:56:11,2019-06-09 11:56:11,Chernobyl
21667900,361753,7993548,2021-02-06 12:53:02,2021-02-06 12:53:02,The Mandalorian
21667900,362115,7215316,2022-09-06 00:57:45,2022-09-06 00:57:45,One Spring Night
21667900,362392,8120638,2021-03-05 13:01:46,2021-03-05 13:01:46,WandaVision
21667900,362472,8452520,2021-07-15 14:58:04,2021-07-15 14:58:04,Loki
21667900,362496,8238362,2021-04-23 10:49:01,2021-04-23 10:49:01,The Falcon and The Winter Soldier
21667900,362696,8544486,2022-01-17 21:30:10,2022-01-17 21:30:10,The Witcher
21667900,363194,7681207,2020-04-22 11:22:05,2020-04-22 11:22:05,Little Fires Everywhere
21667900,364928,8151280,2021-04-06 02:55:53,2021-04-06 02:55:53,Snowpiercer
21667900,365480,7408842,2020-01-16 16:42:24,2020-01-16 16:42:24,The Outsider (2020)
21667900,366195,7362292,2019-12-10 05:58:26,2019-12-10 05:58:26,Mrs. Fletcher
21667900,366211,9288827,2022-08-10 01:28:27,2022-08-10 01:28:27,The Sandman
21667900,366668,7995063,2021-01-20 06:36:08,2021-01-20 06:36:08,Bridgerton
21667900,366777,7277936,2022-08-31 01:39:37,2022-08-31 01:39:37,Vagabond
21667900,367030,7288543,2019-09-27 11:08:19,2019-09-27 11:08:19,Unbelievable
21667900,367230,7531684,2020-04-18 16:12:21,2020-04-18 16:12:21,Mrs. America
21667900,368210,7611880,2020-04-06 08:40:05,2020-04-06 08:40:05,Tales from the Loop
21667900,368385,7483410,2022-06-30 19:43:59,2022-06-30 19:43:59,Crash Landing on You
21667900,368452,7328940,2020-10-19 10:47:48,2020-10-19 10:47:48,Inside Bill's Brain: Decoding Bill Gates
21667900,368611,8950494,2022-04-15 00:44:36,2022-04-15 00:44:36,Moon Knight
