nb_episodes_seen,tv_show_name,user_id,tv_show_id,is_followed,is_favorited
0,Hawkeye (2021),21667900,367146,1,0
1,Mrs. America,21667900,367230,0,0
0,Defending Jacob,21667900,368122,1,0
6,Tales from the Loop,21667900,368210,1,0
0,Upload,21667900,368211,1,0
5,Crash Landing on You,21667900,368385,1,0
3,Inside Bill's Brain: Decoding Bill Gates,21667900,368452,1,0
3,Moon Knight,21667900,368611,1,0
0,Ms. Marvel,21667900,368612,1,0
0,She-Hulk: Attorney at Law,21667900,368613,1,0
0,Raised by Wolves (2020),21667900,368643,1,0
5,The Great,21667900,369301,1,0
6,The Undoing,21667900,369307,1,0
8,Shadow and Bone,21667900,369844,1,0
0,Cursed (2020),21667900,369950,1,0
7,Mare of Easttown,21667900,370112,1,0
17,House of the Dragon,21667900,371572,1,0
12,Normal People,21667900,371806,1,0
4,Virgin River,21667900,371972,1,0
20,Severance,21667900,371980,1,0
0,The Gift (2019),21667900,372912,1,0
3,Messiah (2020),21667900,373186,1,0
22,"Hi Bye, Mama!",21667900,373415,1,0
0,The Stranger,21667900,374977,1,0
3,I Am Not Okay With This,21667900,375998,1,0
4,Unorthodox,21667900,376122,1,0
0,Alice in Borderland (2020),21667900,376472,1,0
0,Nine Perfect Strangers,21667900,376815,1,0
8,It's Okay to Not Be Okay,21667900,377955,1,0
16,Flower of Evil,21667900,377960,1,0
0,The English Game,21667900,378014,1,0
0,Jeffrey Epstein: Filthy Rich,21667900,378477,1,0
6,Behind Her Eyes,21667900,380991,1,0
18,Ted Lasso,21667900,383203,1,0
0,Squid Game,21667900,383275,1,0
0,Snowdrop,21667900,387021,1,0
7,The Queen's Gambit,21667900,387115,1,0
3,Bad Boy Billionaires: India,21667900,387191,1,0
6,The White Lotus,21667900,390430,1,0
6,Vincenzo,21667900,391784,1,0
0,KinnPorsche,21667900,391992,0,0
0,The Last of Us,21667900,392256,1,0
1,Shōgun,21667900,392573,1,0
0,Ginny & Georgia,21667900,393625,1,0
5,Scenes From A Marriage (US),21667900,394109,1,0
0,Wednesday,21667900,397060,1,0
6,My Name,21667900,397441,1,0
9,Our Beloved Summer,21667900,398815,1,0
0,Yellowjackets,21667900,399731,1,0
10,Only Murders in the Building,21667900,399959,1,0
31,Alchemy of Souls,21667900,401475,1,0
16,My Liberation Notes,21667900,401548,1,0
