episode_number,user_id,episode_id,watched_on_source_id,created_at,updated_at,tv_show_name,episode_season_number
4,21667900,5738939,1,2018-12-25 11:11:28,2018-12-25 11:11:28,Poldark (2015),2
5,21667900,5738940,1,2018-12-25 16:30:28,2018-12-25 16:30:28,Poldark (2015),2
6,21667900,5738941,1,2018-12-26 05:53:57,2018-12-26 05:53:57,Poldark (2015),2
7,21667900,5738942,1,2018-12-26 09:16:07,2018-12-26 09:16:07,Poldark (2015),2
8,21667900,5738943,1,2018-12-26 11:23:19,2018-12-26 11:23:19,Poldark (2015),2
9,21667900,5738944,1,2018-12-26 16:31:17,2018-12-26 16:31:17,Poldark (2015),2
10,21667900,5738945,1,2018-12-27 05:23:48,2018-12-27 05:23:48,Poldark (2015),2
6,21667900,5745518,1,2019-06-11 08:04:59,2019-06-11 08:04:59,The Good Place,1
7,21667900,5745521,1,2019-06-11 08:28:01,2019-06-11 08:28:01,The Good Place,1
8,21667900,5745523,1,2019-06-11 08:52:38,2019-06-11 08:52:38,The Good Place,1
9,21667900,5745525,1,2019-06-11 09:16:23,2019-06-11 09:16:23,The Good Place,1
1,21667900,5782727,1,2019-06-15 02:15:02,2019-06-15 02:15:02,Beyond,1
2,21667900,5782728,1,2019-06-15 16:12:22,2019-06-15 16:12:22,Beyond,1
3,21667900,5782729,1,2019-06-16 04:39:27,2019-06-16 04:39:27,Beyond,1
4,21667900,5782730,1,2019-06-16 09:25:53,2019-06-16 09:25:53,Beyond,1
5,21667900,5782731,1,2019-06-17 06:17:24,2019-06-17 06:17:24,Beyond,1
10,21667900,5818942,1,2019-06-11 09:40:11,2019-06-11 09:40:11,The Good Place,1
9,21667900,5833346,1,2018-10-13 10:09:41,2018-10-13 10:09:41,The Affair,3
11,21667900,5855690,1,2019-06-11 10:54:20,2019-06-11 10:54:20,The Good Place,1
12,21667900,5904846,1,2019-06-11 11:16:34,2019-06-11 11:16:34,The Good Place,1
13,21667900,5904847,1,2019-06-11 11:41:54,2019-06-11 11:41:54,The Good Place,1
4,21667900,5906288,1,2020-08-19 09:50:44,2020-08-19 09:50:44,Scum's Wish,1
1,21667900,5936411,1,2019-06-03 08:32:09,2019-06-03 08:32:09,House of Cards (US),5
2,21667900,5937312,1,2019-06-14 11:22:53,2019-06-14 11:22:53,House of Cards (US),5
1,21667900,5941632,1,2018-07-20 11:13:26,2018-07-20 11:13:26,13 Reasons Why,1
11,21667900,5941645,1,2018-07-20 11:12:50,2018-07-20 11:12:50,13 Reasons Why,1
13,21667900,5941648,1,2018-07-20 11:13:09,2018-07-20 11:13:09,13 Reasons Why,1
1,21667900,5964888,1,2019-06-14 12:40:40,2019-06-14 12:40:40,Babylon Berlin,1
1,21667900,5966086,1,2018-12-27 09:45:05,2018-12-27 09:45:05,Poldark (2015),3
2,21667900,6009893,1,2018-07-10 16:20:19,2018-07-10 16:20:19,Anne with an E,1
1,21667900,6056377,1,2018-12-17 09:39:08,2018-12-17 09:39:08,Money Heist,1
7,21667900,6073204,1,2018-12-18 10:38:58,2018-12-18 10:38:58,Money Heist,1
2,21667900,6091739,1,2018-12-27 11:44:15,2018-12-27 11:44:15,Poldark (2015),3
3,21667900,6091741,1,2018-12-27 16:40:48,2018-12-27 16:40:48,Poldark (2015),3
4,21667900,6091742,1,2018-12-28 09:48:41,2018-12-28 09:48:41,Poldark (2015),3
5,21667900,6091743,1,2018-12-28 12:21:38,2018-12-28 12:21:38,Poldark (2015),3
1,21667900,6094695,3,2020-08-04 06:51:47,2020-08-04 06:51:47,A Silent Voice,1
1,21667900,6140534,1,2019-06-11 14:06:13,2019-06-11 14:06:13,The Good Place,2
2,21667900,6141745,1,2019-06-11 14:06:38,2019-06-11 14:06:38,The Good Place,2
3,21667900,6141746,1,2019-06-12 03:13:42,2019-06-12 03:13:42,The Good Place,2
4,21667900,6141747,1,2019-06-12 03:36:38,2019-06-12 03:36:38,The Good Place,2
5,21667900,6141748,1,2019-06-12 04:02:20,2019-06-12 04:02:20,The Good Place,2
6,21667900,6141749,1,2019-06-12 04:42:17,2019-06-12 04:42:17,The Good Place,2
7,21667900,6141750,1,2019-06-12 04:43:24,2019-06-12 04:43:24,The Good Place,2
8,21667900,6141751,1,2019-06-12 07:28:20,2019-06-12 07:28:20,The Good Place,2
6,21667900,6156573,1,2018-12-28 16:33:04,2018-12-28 16:33:04,Poldark (2015),3
7,21667900,6156575,1,2018-12-29 05:24:55,2018-12-29 05:24:55,Poldark (2015),3
8,21667900,6156576,1,2018-12-29 12:27:54,2018-12-29 12:27:54,Poldark (2015),3
9,21667900,6156578,1,2018-12-30 09:23:12,2018-12-30 09:23:12,Poldark (2015),3
9,21667900,6215632,1,2019-06-12 07:56:08,2019-06-12 07:56:08,The Good Place,2
11,21667900,6215635,1,2019-06-12 10:32:17,2019-06-12 10:32:17,The Good Place,2
