season_number,episode_number,episode_id,user_id,uuid,vote_key,series_name
1,6,5745518,21667900,84e8567d-87ee-4c61-b160-ce7ae10c1c7a,5745518-21667900-5,The Good Place
1,7,5745521,21667900,74067810-a9c2-4a40-aef5-d8f7faaa9773,5745521-21667900-5,The Good Place
1,7,5745521,21667900,74067810-a9c2-4a40-aef5-d8f7faaa9773,5745521-21667900-29,The Good Place
3,3,5755261,21667900,50b2ffb1-3436-4aff-8c44-375a9046f241,5755261-21667900-3,The Fall
3,4,5755262,21667900,814d44a4-2744-466f-b1ac-29aa5773fb58,5755262-21667900-3,The Fall
1,1,5782727,21667900,cdd8d845-14f8-4378-b1a2-1025a31e15ef,5782727-21667900-28,Beyond
1,1,5782727,21667900,cdd8d845-14f8-4378-b1a2-1025a31e15ef,5782727-21667900-4,Beyond
1,2,5782728,21667900,7072859b-ca66-48d7-b8f4-e05df084f050,5782728-21667900-5,Beyond
1,3,5782729,21667900,37f4fb2f-338c-4523-b681-0485c08aec35,5782729-21667900-5,Beyond
1,3,5782729,21667900,37f4fb2f-338c-4523-b681-0485c08aec35,5782729-21667900-29,Beyond
1,4,5782730,21667900,4a733ed2-5465-4af5-b747-519bc9a85d18,5782730-21667900-29,Beyond
1,4,5782730,21667900,4a733ed2-5465-4af5-b747-519bc9a85d18,5782730-21667900-5,Beyond
