folder_id,archived,created_at,diffusion,updated_at,active,notification_type,notification_offset,tv_show_name,user_id,tv_show_id
,0,2018-06-26 16:52:32,original,2018-06-26 16:52:32,1,2,1440,The White Queen,21667900,266092
,0,2018-06-26 17:09:12,original,2018-06-26 17:09:12,1,2,1440,The Blacklist,21667900,266189
,0,2022-07-07 21:13:45,original,2022-07-07 21:13:45,1,2,1440,"That Winter, the Wind Blows",21667900,266362
,0,2018-11-06 13:34:24,original,2018-11-06 13:34:24,1,2,1440,Broadchurch,21667900,266398
,0,2018-11-06 13:35:22,original,2018-11-06 13:35:22,1,2,1440,Rectify,21667900,266609
,0,2018-06-26 17:09:29,original,2018-06-26 17:09:29,1,2,1440,The Originals,21667900,266883
,0,2018-06-26 16:49:49,original,2018-06-26 16:49:49,1,2,1440,Mom,21667900,266967
,0,2018-09-22 04:00:10,original,2018-09-22 04:00:10,1,2,1440,Attack on Titan,21667900,267440
,0,2018-09-29 14:01:56,original,2018-09-29 14:01:56,1,2,1440,The Fosters (2013),21667900,267907
,0,2018-06-26 14:39:24,original,2018-06-26 14:39:24,1,2,1440,Sense8,21667900,268156
,0,2018-06-26 17:00:33,original,2018-10-08 12:14:15,0,2,1440,The 100,21667900,268592
,0,2020-04-19 10:34:15,original,2020-04-19 10:34:15,1,2,1440,Quarry,21667900,269110
,0,2018-11-07 05:38:54,original,2018-11-07 05:38:54,1,2,1440,The Musketeers,21667900,269159
,0,2018-07-07 16:43:09,original,2018-07-07 16:43:09,1,2,1440,Sleepy Hollow,21667900,269578
,0,2018-08-05 10:29:57,original,2018-08-05 10:29:57,1,2,1440,Brooklyn Nine-Nine,21667900,269586
,0,2018-07-10 16:23:40,original,2018-07-10 16:23:40,1,2,1440,Reign (2013),21667900,269602
,0,2018-07-16 11:27:25,original,2018-07-16 11:27:25,1,2,1440,Star-Crossed,21667900,269604
,0,2018-07-16 10:27:54,original,2018-07-16 10:27:54,1,2,1440,Fargo,21667900,269613
,0,2018-10-01 08:19:41,original,2018-10-01 08:19:41,1,2,1440,Betrayal,21667900,269647
,0,2018-11-10 16:32:41,original,2018-11-10 16:32:41,1,2,1440,Resurrection,21667900,269650
,0,2018-06-26 17:21:33,original,2018-06-26 17:21:33,1,2,1440,The Leftovers,21667900,269689
,0,2018-06-26 17:21:11,original,2018-06-26 17:21:11,1,2,1440,Outlander,21667900,270408
,0,2018-08-15 08:52:52,original,2018-08-15 08:52:52,1,2,1440,The Affair,21667900,270439
,0,2018-09-12 11:59:12,original,2018-09-12 11:59:12,1,2,1440,True Detective,21667900,270633
,0,2018-10-26 04:31:00,original,2018-10-26 04:31:00,1,2,1440,Peaky Blinders,21667900,270915
,0,2018-06-27 07:14:59,original,2018-06-27 07:14:59,1,2,1440,12 Monkeys,21667900,272644
,0,2018-06-26 18:02:23,original,2018-06-26 18:02:23,1,2,1440,Better Call Saul,21667900,273181
,0,2019-07-09 12:10:50,original,2019-07-09 12:10:50,1,2,1440,Looking,21667900,274337
,0,2018-06-27 08:49:15,original,2018-06-27 08:49:15,1,2,1440,Gotham,21667900,274431
,0,2018-10-01 08:21:56,original,2018-10-01 08:21:56,1,2,1440,Salem,21667900,274897
,0,2018-11-27 06:33:13,original,2018-11-27 06:33:13,1,2,1440,Anna Karenina (2013),21667900,276031
,0,2019-09-15 12:35:37,original,2019-09-15 12:35:37,0,2,1440,Rosemary's Baby,21667900,276147
,0,2018-08-15 08:53:45,original,2018-08-15 08:53:45,1,2,1440,Power,21667900,276562
,0,2018-07-16 16:15:43,original,2018-07-16 16:15:43,1,2,1440,Olive Kitteridge,21667900,276842
,0,2018-06-27 07:16:09,original,2018-06-27 07:16:09,1,2,1440,Silicon Valley,21667900,277165
,0,2018-12-05 11:04:55,original,2018-12-05 11:04:55,1,2,1440,Bosch,21667900,277928
,0,2018-08-09 16:27:31,original,2018-08-09 16:27:31,1,2,1440,Mozart in the Jungle,21667900,278335
,0,2018-07-17 16:18:09,original,2018-07-17 16:18:09,1,2,1440,Our Girl,21667900,278640
,0,2018-06-26 16:58:50,original,2018-06-26 16:58:50,1,2,1440,The Flash (2014),21667900,279121
,0,2018-08-05 13:51:25,original,2018-08-05 13:51:25,1,2,1440,Deadbeat,21667900,279392
,0,2018-10-01 16:20:54,original,2018-10-01 16:20:54,1,2,1440,Billions,21667900,279536
,0,2020-08-24 03:27:51,original,2020-08-24 03:27:51,1,2,1440,Blue Spring Ride,21667900,279554
,0,2018-10-01 04:18:01,original,2018-10-01 04:18:01,1,2,1440,Your Lie in April,21667900,279830
,0,2019-07-10 11:20:53,original,2019-07-10 11:20:53,1,2,1440,The Knick,21667900,279977
,0,2018-11-14 11:04:24,original,2018-11-14 11:04:24,1,2,1440,Prey (2014),21667900,280361
,0,2018-11-06 13:33:29,original,2018-11-06 13:33:29,1,2,1440,Happy Valley,21667900,280537
,0,2018-07-17 16:18:22,original,2018-07-17 16:18:22,1,2,1440,Poldark (2015),21667900,280582
,0,2018-06-26 17:26:22,original,2018-06-26 17:26:22,1,2,1440,The Expanse,21667900,280619
,0,2018-07-03 16:39:59,original,2018-07-03 16:39:59,1,2,1440,Younger,21667900,280706
,0,2018-10-24 07:57:41,original,2018-10-24 07:57:41,1,2,1440,Tokyo Ghoul,21667900,281249
,0,2018-11-10 16:30:06,original,2018-11-10 16:30:06,1,2,1440,Complications,21667900,281256
,0,2018-07-22 10:42:21,original,2018-07-22 10:42:21,1,2,1440,Tut,21667900,281367
