vote_key,episode_id,user_id,series_name,season_number,episode_number
5506132-21667900-37,5506132,21667900,Better Call Saul,2,3
5537897-21667900-30,5537897,21667900,Better Call Saul,2,5
5537897-21667900-28,5537897,21667900,Better Call Saul,2,5
5538565-21667900-28,5538565,21667900,Better Call Saul,2,6
5541668-21667900-28,5541668,21667900,The Story of God with Morgan Freeman,1,1
5541668-21667900-24,5541668,21667900,The Story of God with Morgan Freeman,1,1
5541668-21667900-25,5541668,21667900,The Story of God with Morgan Freeman,1,1
5551774-21667900-37,5551774,21667900,Better Call Saul,2,7
5551774-21667900-33,5551774,21667900,Better Call Saul,2,7
5551774-21667900-28,5551774,21667900,Better Call Saul,2,7
5563916-21667900-25,5563916,21667900,The Story of God with Morgan Freeman,1,2
5586358-21667900-30,5586358,21667900,The Night Of,1,1
5586358-21667900-24,5586358,21667900,The Night Of,1,1
5586358-21667900-25,5586358,21667900,The Night Of,1,1
5586358-21667900-15,5586358,21667900,The Night Of,1,1
5586358-21667900-28,5586358,21667900,The Night Of,1,1
5648788-21667900-13,5648788,21667900,The Good Place,1,1
5648842-21667900-30,5648842,21667900,The Night Of,1,2
5648842-21667900-15,5648842,21667900,The Night Of,1,2
5648842-21667900-25,5648842,21667900,The Night Of,1,2
5648843-21667900-24,5648843,21667900,The Night Of,1,3
5648843-21667900-25,5648843,21667900,The Night Of,1,3
5648843-21667900-28,5648843,21667900,The Night Of,1,3
5648844-21667900-24,5648844,21667900,The Night Of,1,4
5648844-21667900-25,5648844,21667900,The Night Of,1,4
5648844-21667900-28,5648844,21667900,The Night Of,1,4
5649281-21667900-13,5649281,21667900,The Good Place,1,2
5649282-21667900-25,5649282,21667900,The Good Place,1,3
5649282-21667900-13,5649282,21667900,The Good Place,1,3
5657622-21667900-25,5657622,21667900,The Night Of,1,5
5657622-21667900-24,5657622,21667900,The Night Of,1,5
5657622-21667900-28,5657622,21667900,The Night Of,1,5
5657623-21667900-25,5657623,21667900,The Night Of,1,6
5657623-21667900-24,5657623,21667900,The Night Of,1,6
5657623-21667900-28,5657623,21667900,The Night Of,1,6
5657624-21667900-28,5657624,21667900,The Night Of,1,7
5657624-21667900-24,5657624,21667900,The Night Of,1,7
5657624-21667900-25,5657624,21667900,The Night Of,1,7
5657625-21667900-13,5657625,21667900,The Night Of,1,8
5657625-21667900-30,5657625,21667900,The Night Of,1,8
5657625-21667900-25,5657625,21667900,The Night Of,1,8
5657625-21667900-15,5657625,21667900,The Night Of,1,8
5692427-21667900-13,5692427,21667900,Black Mirror,3,1
5692427-21667900-18,5692427,21667900,Black Mirror,3,1
5692427-21667900-28,5692427,21667900,Black Mirror,3,1
5692430-21667900-28,5692430,21667900,Black Mirror,3,2
5692430-21667900-15,5692430,21667900,Black Mirror,3,2
5692430-21667900-30,5692430,21667900,Black Mirror,3,2
5692430-21667900-18,5692430,21667900,Black Mirror,3,2
5738213-21667900-13,5738213,21667900,The Good Place,1,4
5738214-21667900-13,5738214,21667900,The Good Place,1,5
5745518-21667900-13,5745518,21667900,The Good Place,1,6
5745521-21667900-13,5745521,21667900,The Good Place,1,7
5745523-21667900-13,5745523,21667900,The Good Place,1,8
5745525-21667900-13,5745525,21667900,The Good Place,1,9
5755261-21667900-37,5755261,21667900,The Fall,3,3
5782727-21667900-13,5782727,21667900,Beyond,1,1
5782728-21667900-25,5782728,21667900,Beyond,1,2
5782728-21667900-13,5782728,21667900,Beyond,1,2
5782729-21667900-13,5782729,21667900,Beyond,1,3
5782729-21667900-25,5782729,21667900,Beyond,1,3
5782730-21667900-13,5782730,21667900,Beyond,1,4
5782730-21667900-25,5782730,21667900,Beyond,1,4
5782731-21667900-24,5782731,21667900,Beyond,1,5
5782731-21667900-28,5782731,21667900,Beyond,1,5
5818942-21667900-13,5818942,21667900,The Good Place,1,10
5845667-21667900-19,5845667,21667900,Scum's Wish,1,1
5855690-21667900-13,5855690,21667900,The Good Place,1,11
5904846-21667900-13,5904846,21667900,The Good Place,1,12
5904847-21667900-24,5904847,21667900,The Good Place,1,13
5904847-21667900-28,5904847,21667900,The Good Place,1,13
5904847-21667900-13,5904847,21667900,The Good Place,1,13
5906286-21667900-28,5906286,21667900,Scum's Wish,1,2
5906286-21667900-18,5906286,21667900,Scum's Wish,1,2
