country_code,region_name,zip_code,updated_at,user_id,country_name,city_name,timezone,ip_address,hits,created_at,latitude,longitude
,,,2020-09-01 07:55:44,21667900,,,,103.85.8.112,2,2020-08-31 17:15:42,,
,,,2020-11-23 08:02:10,21667900,,,,103.85.8.115,2,2020-11-23 07:40:14,,
,,,2021-07-11 10:10:40,21667900,,,,103.85.8.138,1,2021-07-11 10:10:40,,
IN,Gujarat,380008,2020-10-12 13:29:23,21667900,India,Ahmedabad,+05:1800,103.85.8.152,6,2020-10-12 03:04:58,23.03,72.59
,,,2021-10-15 13:28:38,21667900,,,,103.85.8.156,4,2021-10-10 13:22:49,,
IN,Gujarat,125625,2021-02-26 05:47:04,21667900,India,Ahmedabad,+05:30,103.85.8.158,5,2021-02-23 12:49:52,23.03,72.62
,,,2021-09-23 05:18:47,21667900,,,,103.85.8.176,1,2021-09-23 05:18:47,,
,,,2020-10-28 03:14:43,21667900,,,,103.85.8.219,2,2020-10-28 02:44:05,,
,,,2020-09-20 10:26:55,21667900,,,,103.85.8.238,3,2020-09-20 07:25:24,,
,,,2020-09-19 11:57:11,21667900,,,,103.85.8.240,1,2020-09-19 11:57:11,,
IN,Gujarat,380007,2020-08-16 10:25:14,21667900,India,Ahmedabad,+05:30,103.85.8.244,5,2020-08-16 05:35:16,23.03,72.59
IN,Gujarat,380008,2020-08-19 10:43:10,21667900,India,Ahmedabad,+05:1800,103.85.8.252,6,2020-08-18 16:38:11,23.03,72.59
,,,2020-09-26 07:57:59,21667900,,,,103.85.8.253,1,2020-09-26 07:57:59,,
,,,2020-09-07 05:30:45,21667900,,,,103.85.8.7,2,2020-09-07 04:56:56,,
,,,2021-06-23 17:16:36,21667900,,,,103.85.8.84,1,2021-06-23 17:16:36,,
,,,2021-03-11 02:49:38,21667900,,,,103.85.9.0,3,2021-03-10 11:26:27,,
,,,2020-12-25 06:52:50,21667900,,,,103.85.9.149,1,2020-12-25 06:52:50,,
,,,2020-08-05 07:35:24,21667900,,,,103.85.9.165,1,2020-08-05 07:35:24,,
IN,Gujarat,380007,2021-06-05 19:54:58,21667900,India,Ahmedabad,+05:1800,103.85.9.177,5,2020-09-05 16:14:43,23.03,72.59
,,,2021-03-28 10:15:52,21667900,,,,103.85.9.190,4,2021-03-26 12:06:32,,
,,,2021-03-08 11:29:23,21667900,,,,103.85.9.197,2,2021-03-08 04:59:20,,
,,,2020-10-23 11:14:40,21667900,,,,103.85.9.220,3,2020-10-23 05:12:04,,
,,,2020-12-20 07:19:27,21667900,,,,103.85.9.240,2,2020-12-15 09:50:57,,
,,,2021-06-09 17:12:47,21667900,,,,103.85.9.241,2,2021-06-09 16:11:04,,
,,,2021-06-27 15:38:01,21667900,,,,103.85.9.25,4,2021-06-26 09:27:17,,
,,,2021-04-30 05:15:14,21667900,,,,103.85.9.57,1,2021-04-30 05:15:14,,
,,,2021-03-12 02:32:41,21667900,,,,103.85.9.81,3,2020-08-31 05:48:53,,
,,,2021-06-29 16:19:49,21667900,,,,103.85.9.84,1,2021-06-29 16:19:49,,
,,,2021-04-14 13:00:19,21667900,,,,103.85.9.94,1,2021-04-14 13:00:19,,
,,,2019-06-01 09:18:08,21667900,,,,106.213.177.166,1,2019-06-01 09:18:08,,
,,,2019-04-12 16:23:11,21667900,,,,106.213.201.212,1,2019-04-12 16:23:11,,
,,,2023-09-14 00:24:09,21667900,,,,132.205.229.175,1,2023-09-14 00:24:09,,
,,,2022-03-22 02:37:46,21667900,,,,132.205.229.194,1,2022-03-22 02:37:46,,
