episode_id,updated_at,episode_season_number,episode_number,user_id,show_character_id,created_at,fb_action_id,tv_show_name
4930438,2019-07-12 16:09:35,1,7,21667900,63639853,2019-07-12 16:09:35,,The Knick
4930439,2019-07-13 05:28:34,1,8,21667900,63639853,2019-07-13 05:28:34,,The Knick
4930440,2019-07-13 07:43:59,1,9,21667900,63639881,2019-07-13 07:43:59,,The Knick
4930441,2019-07-13 08:41:01,1,10,21667900,63639876,2019-07-13 08:41:01,,The Knick
5013326,2020-08-24 06:32:18,1,2,21667900,64369572,2020-08-24 06:32:14,,Your Lie in April
5013610,2020-08-26 10:31:26,1,22,21667900,64369572,2020-08-26 10:31:23,,Your Lie in April
5028306,2021-02-09 10:05:47,1,8,21667900,64833043,2021-02-09 10:05:47,,The Seven Deadly Sins
5043395,2019-05-26 11:53:40,3,1,21667900,64818243,2019-05-26 11:53:40,,House of Cards (US)
5043396,2019-05-26 16:39:17,3,2,21667900,64818234,2019-05-26 16:39:17,,House of Cards (US)
5043397,2019-05-27 04:39:07,3,3,21667900,64818234,2019-05-27 04:39:07,,House of Cards (US)
5043398,2019-05-27 16:14:17,3,4,21667900,64818234,2019-05-27 16:14:17,,House of Cards (US)
5043399,2019-05-29 06:49:51,3,5,21667900,64818234,2019-05-29 06:49:51,,House of Cards (US)
5043400,2019-05-29 06:50:10,3,6,21667900,64818236,2019-05-29 06:50:10,,House of Cards (US)
5043401,2019-05-29 06:50:25,3,7,21667900,64818234,2019-05-29 06:50:25,,House of Cards (US)
5043402,2019-05-29 09:03:24,3,8,21667900,64818234,2019-05-29 09:03:24,,House of Cards (US)
5043403,2019-05-29 09:51:53,3,9,21667900,64818234,2019-05-29 09:51:53,,House of Cards (US)
5043404,2019-05-29 10:54:39,3,10,21667900,64818234,2019-05-29 10:54:39,,House of Cards (US)
5043406,2019-05-29 12:10:25,3,11,21667900,64818234,2019-05-29 12:10:20,,House of Cards (US)
5043417,2019-05-30 03:47:26,3,13,21667900,64818236,2019-05-30 03:47:26,,House of Cards (US)
5054192,2019-09-07 09:53:48,1,2,21667900,65235974,2019-09-07 09:53:48,,Better Call Saul
5054193,2019-09-07 11:44:50,1,3,21667900,65235974,2019-09-07 11:44:50,,Better Call Saul
5080540,2021-03-12 02:33:11,2,8,21667900,63761541,2021-03-12 02:33:11,,Broadchurch
