series_name,season_number,episode_number,user_id,episode_id,vote_key
Money Heist,1,7,21667900,6073204,6073204-21667900-20
Poldark (2015),3,2,21667900,6091739,6091739-21667900-19
Poldark (2015),3,3,21667900,6091741,6091741-21667900-19
Poldark (2015),3,3,21667900,6091741,6091741-21667900-20
Poldark (2015),3,4,21667900,6091742,6091742-21667900-19
Poldark (2015),3,5,21667900,6091743,6091743-21667900-20
A Silent Voice,1,1,21667900,6094695,6094695-21667900-3
Ozark,1,1,21667900,6104951,6104951-21667900-29
Ozark,1,2,21667900,6104952,6104952-21667900-29
The Good Place,2,1,21667900,6140534,6140534-21667900-5
The Good Place,2,1,21667900,6140534,6140534-21667900-29
The Good Place,2,2,21667900,6141745,6141745-21667900-29
The Good Place,2,2,21667900,6141745,6141745-21667900-5
The Good Place,2,3,21667900,6141746,6141746-21667900-5
The Good Place,2,3,21667900,6141746,6141746-21667900-29
The Good Place,2,4,21667900,6141747,6141747-21667900-29
The Good Place,2,4,21667900,6141747,6141747-21667900-5
The Good Place,2,5,21667900,6141748,6141748-21667900-5
The Good Place,2,5,21667900,6141748,6141748-21667900-29
The Good Place,2,6,21667900,6141749,6141749-21667900-29
The Good Place,2,6,21667900,6141749,6141749-21667900-5
The Good Place,2,7,21667900,6141750,6141750-21667900-5
The Good Place,2,7,21667900,6141750,6141750-21667900-29
The Good Place,2,8,21667900,6141751,6141751-21667900-5
The Good Place,2,8,21667900,6141751,6141751-21667900-29
Poldark (2015),3,6,21667900,6156573,6156573-21667900-19
Poldark (2015),3,7,21667900,6156575,6156575-21667900-20
Poldark (2015),3,8,21667900,6156576,6156576-21667900-20
Poldark (2015),3,9,21667900,6156578,6156578-21667900-19
Ozark,1,3,21667900,6172291,6172291-21667900-29
Ozark,1,4,21667900,6172292,6172292-21667900-29
Ozark,1,5,21667900,6172293,6172293-21667900-29
Ozark,1,6,21667900,6172294,6172294-21667900-29
Ozark,1,7,21667900,6172295,6172295-21667900-29
Ozark,1,8,21667900,6172296,6172296-21667900-28
Ozark,1,9,21667900,6172297,6172297-21667900-3
Ozark,1,9,21667900,6172297,6172297-21667900-29
Ozark,1,10,21667900,6172298,6172298-21667900-3
The Good Place,2,9,21667900,6215632,6215632-21667900-3
The Good Place,2,11,21667900,6215635,6215635-21667900-5
The Good Place,2,11,21667900,6215635,6215635-21667900-29
The Good Place,2,12,21667900,6247595,6247595-21667900-5
The Good Place,2,12,21667900,6247595,6247595-21667900-29
The Good Place,2,12,21667900,6247595,6247595-21667900-3
Howards End,1,1,21667900,6297940,6297940-21667900-19
Howards End,1,2,21667900,6297941,6297941-21667900-18
Howards End,1,3,21667900,6297942,6297942-21667900-18
Howards End,1,4,21667900,6297943,6297943-21667900-18
Babylon Berlin,1,2,21667900,6352961,6352961-21667900-3
Babylon Berlin,1,3,21667900,6352962,6352962-21667900-29
Babylon Berlin,1,3,21667900,6352962,6352962-21667900-5
Money Heist,1,11,21667900,6468119,6468119-21667900-20
Money Heist,1,15,21667900,6472375,6472375-21667900-20
This Is Us,2,14,21667900,6485190,6485190-21667900-3
This Is Us,2,14,21667900,6485190,6485190-21667900-29
The Seven Deadly Sins,2,14,21667900,6504114,6504114-21667900-3
The Seven Deadly Sins,2,20,21667900,6504120,6504120-21667900-3
DARLING in the FRANXX,1,24,21667900,6510565,6510565-21667900-3
My Mister,1,1,21667900,6524416,6524416-21667900-3
Tom Clancy's Jack Ryan,1,1,21667900,6530568,6530568-21667900-3
Westworld,2,1,21667900,6538598,6538598-21667900-3
Tom Clancy's Jack Ryan,1,2,21667900,6545667,6545667-21667900-3
Tom Clancy's Jack Ryan,1,3,21667900,6545668,6545668-21667900-3
Tom Clancy's Jack Ryan,1,4,21667900,6545669,6545669-21667900-3
My Mister,1,3,21667900,6548881,6548881-21667900-3
My Mister,1,4,21667900,6548882,6548882-21667900-3
My Mister,1,8,21667900,6548886,6548886-21667900-3
My Mister,1,15,21667900,6548893,6548893-21667900-3
My Mister,1,16,21667900,6548894,6548894-21667900-3
Lucifer,3,24,21667900,6578537,6578537-21667900-3
My Brilliant Friend,1,7,21667900,6605071,6605071-21667900-19
My Brilliant Friend,1,8,21667900,6605072,6605072-21667900-20
Something in the Rain,1,3,21667900,6619787,6619787-21667900-3
Poldark (2015),4,1,21667900,6646752,6646752-21667900-20
Succession,1,6,21667900,6697890,6697890-21667900-3
The Good Place,3,1,21667900,6704749,6704749-21667900-5
The Good Place,3,1,21667900,6704749,6704749-21667900-29
The Good Place,3,2,21667900,6704751,6704751-21667900-5
The Good Place,3,2,21667900,6704751,6704751-21667900-29
Sharp Objects,1,8,21667900,6704944,6704944-21667900-20
Lucifer,3,25,21667900,6706090,6706090-21667900-29
Better Call Saul,4,1,21667900,6709632,6709632-21667900-3
Poldark (2015),4,2,21667900,6710020,6710020-21667900-19
Gentleman Jack,1,1,21667900,6711743,6711743-21667900-29
Bodyguard (2018),1,1,21667900,6733508,6733508-21667900-20
Bodyguard (2018),1,2,21667900,6733509,6733509-21667900-20
Bodyguard (2018),1,3,21667900,6733510,6733510-21667900-20
Bodyguard (2018),1,6,21667900,6733513,6733513-21667900-20
Ozark,2,1,21667900,6735146,6735146-21667900-29
Familiar Wife,1,1,21667900,6741740,6741740-21667900-3
Familiar Wife,1,16,21667900,6756799,6756799-21667900-3
Better Call Saul,4,2,21667900,6757076,6757076-21667900-3
Better Call Saul,4,3,21667900,6757077,6757077-21667900-3
Better Call Saul,4,4,21667900,6757078,6757078-21667900-3
Better Call Saul,4,5,21667900,6757079,6757079-21667900-29
The Little Drummer Girl,1,1,21667900,6765383,6765383-21667900-19
The Little Drummer Girl,1,2,21667900,6765384,6765384-21667900-19
The Little Drummer Girl,1,3,21667900,6765385,6765385-21667900-20
The Little Drummer Girl,1,4,21667900,6765386,6765386-21667900-20
The Little Drummer Girl,1,5,21667900,6765387,6765387-21667900-20
The Little Drummer Girl,1,6,21667900,6765388,6765388-21667900-20
Homecoming (2018),1,1,21667900,6767346,6767346-21667900-18
The Man in the High Castle,3,1,21667900,6768101,6768101-21667900-19
The Man in the High Castle,3,2,21667900,6769073,6769073-21667900-19
Escape at Dannemora,1,1,21667900,6770149,6770149-21667900-19
Tom Clancy's Jack Ryan,1,5,21667900,6775604,6775604-21667900-3
Tom Clancy's Jack Ryan,1,6,21667900,6775605,6775605-21667900-3
Tom Clancy's Jack Ryan,1,7,21667900,6775606,6775606-21667900-3
Tom Clancy's Jack Ryan,1,8,21667900,6775607,6775607-21667900-3
Ozark,2,2,21667900,6778611,6778611-21667900-29
Ozark,2,3,21667900,6778614,6778614-21667900-3
Ozark,2,4,21667900,6778618,6778618-21667900-3
Ozark,2,5,21667900,6778619,6778619-21667900-3
Ozark,2,6,21667900,6778620,6778620-21667900-3
Ozark,2,7,21667900,6778622,6778622-21667900-3
Ozark,2,8,21667900,6778623,6778623-21667900-3
Ozark,2,9,21667900,6778625,6778625-21667900-3
Ozark,2,10,21667900,6778626,6778626-21667900-3
Better Call Saul,4,7,21667900,6782558,6782558-21667900-29
Lucifer,4,1,21667900,6783481,6783481-21667900-3
The Man in the High Castle,3,3,21667900,6805101,6805101-21667900-19
The Man in the High Castle,3,4,21667900,6805102,6805102-21667900-20
The Man in the High Castle,3,5,21667900,6805103,6805103-21667900-20
The Man in the High Castle,3,6,21667900,6805105,6805105-21667900-20
The Man in the High Castle,3,8,21667900,6805107,6805107-21667900-19
The Man in the High Castle,3,9,21667900,6805108,6805108-21667900-20
The Man in the High Castle,3,10,21667900,6805110,6805110-21667900-20
